id,bool_col,tinyint_col,smallint_col,int_col,bigint_col,float_col,double_col,date_string_col,string_col,timestamp_col,year,month
6690,true,0,0,0,0,-0.5,0.0,11/01/10,0,2010-11-01T00:00:00.000000,2010,11
6691,false,1,1,1,10,-0.99999,10.1,11/01/10,1,2010-11-01T00:01:00.000000,2010,11
6692,true,2,2,2,20,-2.220446e-16,20.2,11/01/10,2,2010-11-01T00:02:00.100000,2010,11
6693,false,3,3,3,30,-5.900777e-7,30.3,11/01/10,3,2010-11-01T00:03:00.300000,2010,11
6694,true,4,4,4,40,-3.4028235e38,40.4,11/01/10,4,2010-11-01T00:04:00.600000,2010,11
6695,false,5,5,5,50,-5.343117e15,50.5,11/01/10,5,2010-11-01T00:05:00.100000,2010,11
6696,true,6,6,6,60,-inf,60.6,11/01/10,6,2010-11-01T00:06:00.150000,2010,11
6697,false,7,7,7,70,-1.1920929e-7,70.7,11/01/10,7,2010-11-01T00:07:00.210000,2010,11
6698,true,8,8,8,80,inf,80.8,11/01/10,8,2010-11-01T00:08:00.280000,2010,11
6699,false,9,9,9,90,1.5,90.9,11/01/10,9,2010-11-01T00:09:00.360000,2010,11
6700,true,0,0,0,0,-6.3629915e16,0.0,11/02/10,0,2010-11-02T00:10:00.450000,2010,11
6701,false,1,1,1,10,-4.9475184e16,10.1,11/02/10,1,2010-11-02T00:11:00.450000,2010,11
6702,true,2,2,2,20,,20.2,11/02/10,2,2010-11-02T00:12:00.460000,2010,11
6703,false,3,3,3,30,3.9053863e16,30.3,11/02/10,3,2010-11-02T00:13:00.480000,2010,11
6704,true,4,4,4,40,0.0,40.4,11/02/10,4,2010-11-02T00:14:00.510000,2010,11
6705,false,5,5,5,50,0.0,50.5,11/02/10,5,2010-11-02T00:15:00.550000,2010,11
6706,true,6,6,6,60,0.0,60.6,11/02/10,6,2010-11-02T00:16:00.600000,2010,11
6707,false,7,7,7,70,1.1,70.7,11/02/10,7,2010-11-02T00:17:00.660000,2010,11
6708,true,8,8,8,80,-0.0,80.8,11/02/10,8,2010-11-02T00:18:00.730000,2010,11
6709,false,9,9,9,90,0.0,90.9,11/02/10,9,2010-11-02T00:19:00.810000,2010,11
6710,true,0,0,0,0,9.007199e15,0.0,11/03/10,0,2010-11-03T00:20:00.900000,2010,11
6711,false,1,1,1,10,1.5,10.1,11/03/10,1,2010-11-03T00:21:00.900000,2010,11
6712,true,2,2,2,20,-0.0,20.2,11/03/10,2,2010-11-03T00:22:00.910000,2010,11
6713,false,3,3,3,30,10000000.0,30.3,11/03/10,3,2010-11-03T00:23:00.930000,2010,11
6714,true,4,4,4,40,-6.343879e16,40.4,11/03/10,4,2010-11-03T00:24:00.960000,2010,11
6715,false,5,5,5,50,-2.220446e-16,50.5,11/03/10,5,2010-11-03T00:25:01.000000,2010,11
6716,true,6,6,6,60,,60.6,11/03/10,6,2010-11-03T00:26:01.500000,2010,11
6717,false,7,7,7,70,-0.0,70.7,11/03/10,7,2010-11-03T00:27:01.110000,2010,11
6718,true,8,8,8,80,-1.5,80.8,11/03/10,8,2010-11-03T00:28:01.180000,2010,11
6719,false,9,9,9,90,-3.0122072e16,90.9,11/03/10,9,2010-11-03T00:29:01.260000,2010,11
6720,true,0,0,0,0,inf,0.0,11/04/10,0,2010-11-04T00:30:01.350000,2010,11
6721,false,1,1,1,10,0.0,10.1,11/04/10,1,2010-11-04T00:31:01.350000,2010,11
6722,true,2,2,2,20,-3.4028235e38,20.2,11/04/10,2,2010-11-04T00:32:01.360000,2010,11
6723,false,3,3,3,30,,30.3,11/04/10,3,2010-11-04T00:33:01.380000,2010,11
6724,true,4,4,4,40,0.0,40.4,11/04/10,4,2010-11-04T00:34:01.410000,2010,11
6725,false,5,5,5,50,0.0,50.5,11/04/10,5,2010-11-04T00:35:01.450000,2010,11
6726,true,6,6,6,60,0.0,60.6,11/04/10,6,2010-11-04T00:36:01.500000,2010,11
6727,false,7,7,7,70,0.5,70.7,11/04/10,7,2010-11-04T00:37:01.560000,2010,11
6728,true,8,8,8,80,-0.00001,80.8,11/04/10,8,2010-11-04T00:38:01.630000,2010,11
6729,false,9,9,9,90,-1.1,90.9,11/04/10,9,2010-11-04T00:39:01.710000,2010,11
6730,true,0,0,0,0,0.0,0.0,11/05/10,0,2010-11-05T00:40:01.800000,2010,11
6731,false,1,1,1,10,,10.1,11/05/10,1,2010-11-05T00:41:01.800000,2010,11
6732,true,2,2,2,20,0.5,20.2,11/05/10,2,2010-11-05T00:42:01.810000,2010,11
6733,false,3,3,3,30,inf,30.3,11/05/10,3,2010-11-05T00:43:01.830000,2010,11
6734,true,4,4,4,40,inf,40.4,11/05/10,4,2010-11-05T00:44:01.860000,2010,11
6735,false,5,5,5,50,-0.00001,50.5,11/05/10,5,2010-11-05T00:45:01.900000,2010,11
6736,true,6,6,6,60,-6.230936e-38,60.6,11/05/10,6,2010-11-05T00:46:01.950000,2010,11
6737,false,7,7,7,70,2.00001,70.7,11/05/10,7,2010-11-05T00:47:02.100000,2010,11
6738,true,8,8,8,80,0.0,80.8,11/05/10,8,2010-11-05T00:48:02.800000,2010,11
6739,false,9,9,9,90,,90.9,11/05/10,9,2010-11-05T00:49:02.160000,2010,11
6740,true,0,0,0,0,0.0,0.0,11/06/10,0,2010-11-06T00:50:02.250000,2010,11
6741,false,1,1,1,10,-1.1754944e-38,10.1,11/06/10,1,2010-11-06T00:51:02.250000,2010,11
6742,true,2,2,2,20,4.1051396e16,20.2,11/06/10,2,2010-11-06T00:52:02.260000,2010,11
6743,false,3,3,3,30,1.5,30.3,11/06/10,3,2010-11-06T00:53:02.280000,2010,11
6744,true,4,4,4,40,-2.00001,40.4,11/06/10,4,2010-11-06T00:54:02.310000,2010,11
6745,false,5,5,5,50,-1.1754944e-38,50.5,11/06/10,5,2010-11-06T00:55:02.350000,2010,11
6746,true,6,6,6,60,,60.6,11/06/10,6,2010-11-06T00:56:02.400000,2010,11
6747,false,7,7,7,70,-0.000061035156,70.7,11/06/10,7,2010-11-06T00:57:02.460000,2010,11
6748,true,8,8,8,80,5.5772105e16,80.8,11/06/10,8,2010-11-06T00:58:02.530000,2010,11
6749,false,9,9,9,90,-3.4028235e38,90.9,11/06/10,9,2010-11-06T00:59:02.610000,2010,11
6750,true,0,0,0,0,2.220446e-16,0.0,11/07/10,0,2010-11-07T01:00:02.700000,2010,11
6751,false,1,1,1,10,0.0,10.1,11/07/10,1,2010-11-07T01:01:02.700000,2010,11
6752,true,2,2,2,20,-1.4801187e16,20.2,11/07/10,2,2010-11-07T01:02:02.710000,2010,11
6753,false,3,3,3,30,9.007199e15,30.3,11/07/10,3,2010-11-07T01:03:02.730000,2010,11
6754,true,4,4,4,40,-6.3133507e16,40.4,11/07/10,4,2010-11-07T01:04:02.760000,2010,11
6755,false,5,5,5,50,-2.00001,50.5,11/07/10,5,2010-11-07T01:05:02.800000,2010,11
6756,true,6,6,6,60,-0.0,60.6,11/07/10,6,2010-11-07T01:06:02.850000,2010,11
6757,false,7,7,7,70,9.007199e15,70.7,11/07/10,7,2010-11-07T01:07:02.910000,2010,11
6758,true,8,8,8,80,,80.8,11/07/10,8,2010-11-07T01:08:02.980000,2010,11
6759,false,9,9,9,90,-1.1754944e-38,90.9,11/07/10,9,2010-11-07T01:09:03.600000,2010,11
6760,true,0,0,0,0,0.0,0.0,11/08/10,0,2010-11-08T01:10:03.150000,2010,11
6761,false,1,1,1,10,,10.1,11/08/10,1,2010-11-08T01:11:03.150000,2010,11
6762,true,2,2,2,20,-0.0,20.2,11/08/10,2,2010-11-08T01:12:03.160000,2010,11
6763,false,3,3,3,30,0.0,30.3,11/08/10,3,2010-11-08T01:13:03.180000,2010,11
6764,true,4,4,4,40,,40.4,11/08/10,4,2010-11-08T01:14:03.210000,2010,11
6765,false,5,5,5,50,0.5,50.5,11/08/10,5,2010-11-08T01:15:03.250000,2010,11
6766,true,6,6,6,60,-1.5,60.6,11/08/10,6,2010-11-08T01:16:03.300000,2010,11
6767,false,7,7,7,70,1.1,70.7,11/08/10,7,2010-11-08T01:17:03.360000,2010,11
6768,true,8,8,8,80,-inf,80.8,11/08/10,8,2010-11-08T01:18:03.430000,2010,11
6769,false,9,9,9,90,-1.5,90.9,11/08/10,9,2010-11-08T01:19:03.510000,2010,11
6770,true,0,0,0,0,-0.0,0.0,11/09/10,0,2010-11-09T01:20:03.600000,2010,11
6771,false,1,1,1,10,-0.000061035156,10.1,11/09/10,1,2010-11-09T01:21:03.600000,2010,11
6772,true,2,2,2,20,5.651485e14,20.2,11/09/10,2,2010-11-09T01:22:03.610000,2010,11
6773,false,3,3,3,30,inf,30.3,11/09/10,3,2010-11-09T01:23:03.630000,2010,11
6774,true,4,4,4,40,0.0,40.4,11/09/10,4,2010-11-09T01:24:03.660000,2010,11
6775,false,5,5,5,50,-0.0,50.5,11/09/10,5,2010-11-09T01:25:03.700000,2010,11
6776,true,6,6,6,60,,60.6,11/09/10,6,2010-11-09T01:26:03.750000,2010,11
6777,false,7,7,7,70,-0.0,70.7,11/09/10,7,2010-11-09T01:27:03.810000,2010,11
6778,true,8,8,8,80,-inf,80.8,11/09/10,8,2010-11-09T01:28:03.880000,2010,11
6779,false,9,9,9,90,-1.5,90.9,11/09/10,9,2010-11-09T01:29:03.960000,2010,11
6780,true,0,0,0,0,-inf,0.0,11/10/10,0,2010-11-10T01:30:04.500000,2010,11
6781,false,1,1,1,10,0.0,10.1,11/10/10,1,2010-11-10T01:31:04.500000,2010,11
6782,true,2,2,2,20,-inf,20.2,11/10/10,2,2010-11-10T01:32:04.600000,2010,11
6783,false,3,3,3,30,inf,30.3,11/10/10,3,2010-11-10T01:33:04.800000,2010,11
6784,true,4,4,4,40,0.0,40.4,11/10/10,4,2010-11-10T01:34:04.110000,2010,11
6785,false,5,5,5,50,-5.9604645e-8,50.5,11/10/10,5,2010-11-10T01:35:04.150000,2010,11
6786,true,6,6,6,60,-inf,60.6,11/10/10,6,2010-11-10T01:36:04.200000,2010,11
6787,false,7,7,7,70,0.0,70.7,11/10/10,7,2010-11-10T01:37:04.260000,2010,11
6788,true,8,8,8,80,0.000061035156,80.8,11/10/10,8,2010-11-10T01:38:04.330000,2010,11
6789,false,9,9,9,90,-0.0,90.9,11/10/10,9,2010-11-10T01:39:04.410000,2010,11
6790,true,0,0,0,0,0.0,0.0,11/11/10,0,2010-11-11T01:40:04.500000,2010,11
6791,false,1,1,1,10,-2.885257e16,10.1,11/11/10,1,2010-11-11T01:41:04.500000,2010,11
